Common Name,Systematic Name
CWC15,YDR163W
SEC1,YDR164C
TRM82,YDR165W
SEC5,YDR166C
TAF10,YDR167W
CDC37,YDR168W
STB3,YDR169C
YDR169C-A,YDR169C-A
SEC7,YDR170C
YDR170W-A,YDR170W-A
HSP42,YDR171W
SUP35,YDR172W
ARG82,YDR173C
HMO1,YDR174W
RSM24,YDR175C
NGG1,YDR176W
UBC1,YDR177W
SDH4,YDR178W
CSN9,YDR179C
YDR179W-A,YDR179W-A
SCC2,YDR180W
SAS4,YDR181C
CDC1,YDR182W
YDR182W-A,YDR182W-A
YDR183C-A,YDR183C-A
PLP1,YDR183W
ATC1,YDR184C
UPS3,YDR185C
YDR186C,YDR186C
YDR187C,YDR187C
CCT6,YDR188W
SLY1,YDR189W
RVB1,YDR190C
HST4,YDR191W
NUP42,YDR192C
YDR193W,YDR193W
MSS116,YDR194C
YDR194W-A,YDR194W-A
REF2,YDR195W
CAB5,YDR196C
CBS2,YDR197W
RKM2,YDR198C
YDR199W,YDR199W
VPS64,YDR200C
SPC19,YDR201W
RAV2,YDR202C
YDR203W,YDR203W
COQ4,YDR204W
MSC2,YDR205W
EBS1,YDR206W
UME6,YDR207C
MSS4,YDR208W
YDR209C,YDR209C
YDR210C-C,YDR210C-C
YDR210C-D,YDR210C-D
YDR210W,YDR210W
YDR210W-A,YDR210W-A
YDR210W-B,YDR210W-B
GCD6,YDR211W
TCP1,YDR212W
UPC2,YDR213W
AHA1,YDR214W
YDR215C,YDR215C
ADR1,YDR216W
RAD9,YDR217C
SPR28,YDR218C
MFB1,YDR219C
YDR220C,YDR220C
GTB1,YDR221W
YDR222W,YDR222W
CRF1,YDR223W
HTB1,YDR224C
HTA1,YDR225W
ADK1,YDR226W
SIR4,YDR227W
PCF11,YDR228C
IVY1,YDR229W
YDR230W,YDR230W
COX20,YDR231C
HEM1,YDR232W
RTN1,YDR233C
LYS4,YDR234W
PRP42,YDR235W
FMN1,YDR236C
MRPL7,YDR237W
SEC26,YDR238C
YDR239C,YDR239C
SNU56,YDR240C
BUD26,YDR241W
AMD2,YDR242W
PRP28,YDR243C
PEX5,YDR244W
MNN10,YDR245W
TRS23,YDR246W
YDR246W-A,YDR246W-A
VHS1,YDR247W
YDR248C,YDR248C
YDR249C,YDR249C
YDR250C,YDR250C
PAM1,YDR251W
BTT1,YDR252W
MET32,YDR253C
CHL4,YDR254W
RMD5,YDR255C
CTA1,YDR256C
RKM4,YDR257C
HSP78,YDR258C
YAP6,YDR259C
SWM1,YDR260C
EXG2,YDR261C
YDR261C-C,YDR261C-C
YDR261C-D,YDR261C-D
YDR261W-A,YDR261W-A
YDR261W-B,YDR261W-B
YDR262W,YDR262W
DIN7,YDR263C
AKR1,YDR264C
PEX10,YDR265W
HEL2,YDR266C
CIA1,YDR267C
MSW1,YDR268W
YDR269C,YDR269C
CCC2,YDR270W
YDR271C,YDR271C
GLO2,YDR272W
DON1,YDR273W
YDR274C,YDR274C
BSC2,YDR275W
PMP3,YDR276C
MTH1,YDR277C
YDR278C,YDR278C
RNH202,YDR279W
RRP45,YDR280W
PHM6,YDR281C
YDR282C,YDR282C
GCN2,YDR283C
DPP1,YDR284C
ZIP1,YDR285W
YDR286C,YDR286C
INM2,YDR287W
NSE3,YDR288W
RTT103,YDR289C
YDR290W,YDR290W
HRQ1,YDR291W
SRP101,YDR292C
SSD1,YDR293C
DPL1,YDR294C
HDA2,YDR295C
MHR1,YDR296W
SUR2,YDR297W
ATP5,YDR298C
BFR2,YDR299W
PRO1,YDR300C
CFT1,YDR301W
GPI11,YDR302W
RSC3,YDR303C
CPR5,YDR304C
HNT2,YDR305C
YDR306C,YDR306C
PMT7,YDR307W
SRB7,YDR308C
GIC2,YDR309C
SUM1,YDR310C
TFB1,YDR311W
SSF2,YDR312W
PIB1,YDR313C
RAD34,YDR314C
IPK1,YDR315C
OMS1,YDR316W
YDR316W-A,YDR316W-A
YDR316W-B,YDR316W-B
HIM1,YDR317W
MCM21,YDR318W
YFT2,YDR319C
SWA2,YDR320C
DAD4,YDR320C-A
YDR320W-B,YDR320W-B
ASP1,YDR321W
TIM11,YDR322C-A
MRPL35,YDR322W
PEP7,YDR323C
UTP4,YDR324C
YCG1,YDR325W
YSP2,YDR326C
YDR327W,YDR327W
SKP1,YDR328C
PEX3,YDR329C
UBX5,YDR330W
GPI8,YDR331W
IRC3,YDR332W
RQC1,YDR333C
SWR1,YDR334W
MSN5,YDR335W
YDR336W,YDR336W
MRPS28,YDR337W
YDR338C,YDR338C
FCF1,YDR339C
YDR340W,YDR340W
YDR341C,YDR341C
HXT7,YDR342C
HXT6,YDR343C
YDR344C,YDR344C
HXT3,YDR345C
SVF1,YDR346C
MRP1,YDR347W
PAL1,YDR348C
YPS7,YDR349C
ATP22,YDR350C
SBE2,YDR351W
YPQ2,YDR352W
TRR1,YDR353W
YDR354C-A,YDR354C-A
TRP4,YDR354W
YDR355C,YDR355C
SPC110,YDR356W
CNL1,YDR357C
GGA1,YDR358W
EAF1,YDR359C
YDR360W,YDR360W
BCP1,YDR361C
TFC6,YDR362C
ESC2,YDR363W
SEM1,YDR363W-A
CDC40,YDR364C
ESF1,YDR365C
YDR365W-A,YDR365W-A
YDR365W-B,YDR365W-B
YDR366C,YDR366C
KEI1,YDR367W
YPR1,YDR368W
XRS2,YDR369C
DXO1,YDR370C
YDR371C-A,YDR371C-A
CTS2,YDR371W
VPS74,YDR372C
FRQ1,YDR373W
YDR374C,YDR374C
WIP1,YDR374W-A
BCS1,YDR375C
ARH1,YDR376W
ATP17,YDR377W
LSM6,YDR378C
YDR379C-A,YDR379C-A
RGA2,YDR379W
ARO10,YDR380W
YDR381C-A,YDR381C-A
YRA1,YDR381W
RPP2b,YDR382W
NKP1,YDR383C
ATO3,YDR384C
EFT2,YDR385W
MUS81,YDR386W
YDR387C,YDR387C
RVS167,YDR388W
SAC7,YDR389W
UBA2,YDR390C
YDR391C,YDR391C
SPT3,YDR392W
SHE9,YDR393W
RPT3,YDR394W
SXM1,YDR395W
YDR396W,YDR396W
NCB2,YDR397C
UTP5,YDR398W
HPT1,YDR399W
URH1,YDR400W
YDR401W,YDR401W
DIT2,YDR402C
DIT1,YDR403W
RPB7,YDR404C
MRP20,YDR405W
PDR15,YDR406W
YDR406W-A,YDR406W-A
TRS120,YDR407C
ADE8,YDR408C
SIZ1,YDR409W
STE14,YDR410C
DFM1,YDR411C
RRP17,YDR412W
YDR413C,YDR413C
ERD1,YDR414C
YDR415C,YDR415C
SYF1,YDR416W
YDR417C,YDR417C
RPL12b,YDR418W
RAD30,YDR419W
HKR1,YDR420W
ARO80,YDR421W
SIP1,YDR422C
CAD1,YDR423C
DYN2,YDR424C
SNX41,YDR425W
YDR426C,YDR426C
RPN9,YDR427W
BNA7,YDR428C
TIF35,YDR429C
CYM1,YDR430C
YDR431W,YDR431W
NPL3,YDR432W
YDR433W,YDR433W
GPI17,YDR434W
PPM1,YDR435C
PPZ2,YDR436W
GPI19,YDR437W
THI74,YDR438W
LRS4,YDR439W
DOT1,YDR440W
APT2,YDR441C
YDR442W,YDR442W
SSN2,YDR443C
YDR444W,YDR444W
YDR445C,YDR445C
ECM11,YDR446W
RPS17b,YDR447C
ADA2,YDR448W
UTP6,YDR449C
RPS18a,YDR450W
YHP1,YDR451C
PPN1,YDR452W
TSA2,YDR453C
GUK1,YDR454C
YDR455C,YDR455C
NHX1,YDR456W
TOM1,YDR457W
HEH2,YDR458C
PFA5,YDR459C
TFB3,YDR460W
YDR461C-A,YDR461C-A
MFA1,YDR461W
MRPL28,YDR462W
STP1,YDR463W
YDR464C-A,YDR464C-A
SPP41,YDR464W
RMT2,YDR465C
PKH3,YDR466W
YDR467C,YDR467C
TLG1,YDR468C
SDC1,YDR469W
UGO1,YDR470C
RPL27b,YDR471W
TRS31,YDR472W
PRP3,YDR473C
JIP4,YDR475C
YDR476C,YDR476C
SNF1,YDR477W
SNM1,YDR478W
PEX29,YDR479C
DIG2,YDR480W
PHO8,YDR481C
CWC21,YDR482C
KRE2,YDR483W
VPS52,YDR484W
VPS72,YDR485C
VPS60,YDR486C
RIB3,YDR487C
PAC11,YDR488C
SLD5,YDR489W
PKH1,YDR490C
YDR491C,YDR491C
IZH1,YDR492W
MZM1,YDR493W
RSM28,YDR494W
VPS3,YDR495C
PUF6,YDR496C
ITR1,YDR497C
SEC20,YDR498C
LCD1,YDR499W
RPL37b,YDR500C
PLM2,YDR501W
SAM2,YDR502C
LPP1,YDR503C
SPG3,YDR504C
PSP1,YDR505C
GMC1,YDR506C
GIN4,YDR507C
GNP1,YDR508C
YDR509W,YDR509W
YDR510C-A,YDR510C-A
SMT3,YDR510W
ACN9,YDR511W
EMI1,YDR512C
GRX2,YDR513W
YDR514C,YDR514C
SLF1,YDR515W
EMI2,YDR516C
GRH1,YDR517W
EUG1,YDR518W
FPR2,YDR519W
URC2,YDR520C
YDR521W,YDR521W
SPS2,YDR522C
SPS1,YDR523C
AGE1,YDR524C
YDR524C-A,YDR524C-A
YDR524C-B,YDR524C-B
YDR524W-C,YDR524W-C
API2,YDR525W
SNA2,YDR525W-A
YDR526C,YDR526C
RBA50,YDR527W
HLR1,YDR528W
QCR7,YDR529C
APA2,YDR530C
CAB1,YDR531W
KRE28,YDR532C
HSP31,YDR533C
FIT1,YDR534C
YDR535C,YDR535C
STL1,YDR536W
YDR537C,YDR537C
PAD1,YDR538W
FDC1,YDR539W
IRC4,YDR540C
YDR541C,YDR541C
PAU10,YDR542W
YDR543C,YDR543C
YDR544C,YDR544C
YDR545C-A,YDR545C-A
YRF1-1,YDR545W
IRC22,YEL001C
WBP1,YEL002C
GIM4,YEL003W
YEA4,YEL004W
VAB2,YEL005C
YEA6,YEL006W
MIT1,YEL007W
YEL008C-A,YEL008C-A
YEL008W,YEL008W
GCN4,YEL009C
YEL009C-A,YEL009C-A
YEL010W,YEL010W
GLC3,YEL011W
UBC8,YEL012W
VAC8,YEL013W
YEL014C,YEL014C
EDC3,YEL015W
NPP2,YEL016C
PMP2,YEL017C-A
GTT3,YEL017W
YEL018C-A,YEL018C-A
EAF5,YEL018W
MMS21,YEL019C
YEL020C,YEL020C
YEL020C-B,YEL020C-B
TIM9,YEL020W-A
URA3,YEL021W
GEA2,YEL022W
YEL023C,YEL023C
RIP1,YEL024W
YEL025C,YEL025C
SNU13,YEL026W
VMA3,YEL027W
YEL028W,YEL028W
BUD16,YEL029C
YEL030C-A,YEL030C-A
ECM10,YEL030W
SPF1,YEL031W
YEL032C-A,YEL032C-A
MCM3,YEL032W
MTC7,YEL033W
YEL034C-A,YEL034C-A
HYP2,YEL034W
UTR5,YEL035C
ANP1,YEL036C
RAD23,YEL037C
UTR4,YEL038W
CYC7,YEL039C
UTR2,YEL040W
YEF1,YEL041W
GDA1,YEL042W
YEL043W,YEL043W
IES6,YEL044W
YEL045C,YEL045C
GLY1,YEL046C
FRD1,YEL047C
TCA17,YEL048C
PAU2,YEL049W
RML2,YEL050C
YEL050W-A,YEL050W-A
VMA8,YEL051W
AFG1,YEL052W
MAK10,YEL053C
YEL053W-A,YEL053W-A
RPL12a,YEL054C
POL5,YEL055C
HAT2,YEL056W
YEL057C,YEL057C
PCM1,YEL058W
SOM1,YEL059C-A
YEL059W,YEL059W
PRB1,YEL060C
CIN8,YEL061C
NPR2,YEL062W
CAN1,YEL063C
AVT2,YEL064C
SIT1,YEL065W
HPA3,YEL066W
YEL067C,YEL067C
YEL068C,YEL068C
HXT13,YEL069C
DSF1,YEL070W
DLD3,YEL071W
RMD6,YEL072W
YEL073C,YEL073C
YEL074W,YEL074W
YEL075C,YEL075C
YEL075W-A,YEL075W-A
YEL076C,YEL076C
YEL076C-A,YEL076C-A
YEL077C,YEL077C
YEL077W-A,YEL077W-A
MNN1,YER001W
NOP16,YER002W
PMI40,YER003C
FMP52,YER004W
YND1,YER005W
YER006C-A,YER006C-A
NUG1,YER006W
TMA20,YER007C-A
PAC2,YER007W
SEC3,YER008C
NTF2,YER009W
YER010C,YER010C
TIR1,YER011W
PRE1,YER012W
PRP22,YER013W
BUD25,YER014C-A
HEM14,YER014W
FAA2,YER015W
BIM1,YER016W
AFG3,YER017C
SPC25,YER018C
SBH2,YER019C-A
ISC1,YER019W
GPA2,YER020W
RPN3,YER021W
SRB4,YER022W
YER023C-A,YER023C-A
PRO3,YER023W
YAT2,YER024W
GCD11,YER025W
CHO1,YER026C
GAL83,YER027C
MIG3,YER028C
SMB1,YER029C
CHZ1,YER030W
YPT31,YER031C
FIR1,YER032W
ZRG8,YER033C
YER034W,YER034W
EDC2,YER035W
ARB1,YER036C
PHM8,YER037W
KRE29,YER038C
YER038W-A,YER038W-A
HVG1,YER039C
YER039C-A,YER039C-A
GLN3,YER040W
YEN1,YER041W
MXR1,YER042W
SAH1,YER043C
ERG28,YER044C
MEI4,YER044C-A
ACA1,YER045C
SPO73,YER046W
YER046W-A,YER046W-A
SAP1,YER047C
CAJ1,YER048C
ISD11,YER048W-A
TPA1,YER049W
RSM18,YER050C
JHD1,YER051W
HOM3,YER052C
PIC2,YER053C
YER053C-A,YER053C-A
GIP2,YER054C
HIS1,YER055C
FCY2,YER056C
RPL34a,YER056C-A
HMF1,YER057C
PET117,YER058W
PCL6,YER059W
FCY21,YER060W
FCY22,YER060W-A
CEM1,YER061C
HOR2,YER062C
THO1,YER063W
VHR2,YER064C
ICL1,YER065C
YER066C-A,YER066C-A
RRT13,YER066W
YER067C-A,YER067C-A
RGI1,YER067W
YER068C-A,YER068C-A
MOT2,YER068W
"ARG5,6",YER069W
RNR1,YER070W
TDA2,YER071C
VTC1,YER072W
ALD5,YER073W
RPS24a,YER074W
YOS1,YER074W-A
PTP3,YER075C
YER076C,YER076C
YER076W-A,YER076W-A
YER077C,YER077C
ICP55,YER078C
YER078W-A,YER078W-A
YER079C-A,YER079C-A
YER079W,YER079W
AIM9,YER080W
SER3,YER081W
UTP7,YER082C
GET2,YER083C
YER084W,YER084W
YER084W-A,YER084W-A
YER085C,YER085C
ILV1,YER086W
YER087C-A,YER087C-A
SBH1,YER087C-B
AIM10,YER087W
DOT6,YER088C
YER088C-A,YER088C-A
YER088W-B,YER088W-B
PTC2,YER089C
YER090C-A,YER090C-A
TRP2,YER090W
MET6,YER091C
YER091C-A,YER091C-A
IES5,YER092W
TSC11,YER093C
AIM11,YER093C-A
PUP3,YER094C
RAD51,YER095W
SHC1,YER096W
YER097W,YER097W
UBP9,YER098W
PRS2,YER099C
UBC6,YER100W
AST2,YER101C
RPS8b,YER102W
SSA4,YER103W
RTT105,YER104W
NUP157,YER105C
MAM1,YER106W
GLE2,YER107C
YER107W-A,YER107W-A
KAP123,YER110C
SWI4,YER111C
LSM4,YER112W
TMN3,YER113C
BOI2,YER114C
SPR6,YER115C
SLX8,YER116C
RPL23b,YER117W
SHO1,YER118C
AVT6,YER119C
YER119C-A,YER119C-A
SCS2,YER120W
YER121W,YER121W
GLO3,YER122C
YCK3,YER123W
DSE1,YER124C
RSP5,YER125W
NSA2,YER126C
LCP5,YER127W
VFA1,YER128W
SAK1,YER129W
YER130C,YER130C
RPS26b,YER131W
PMD1,YER132C
GLC7,YER133W
YER133W-A,YER133W-A
YER134C,YER134C
YER135C,YER135C
GDI1,YER136W
YER137C,YER137C
YER137C-A,YER137C-A
YER137W-A,YER137W-A
YER138C,YER138C
YER138W-A,YER138W-A
RTR1,YER139C
EMP65,YER140W
COX15,YER141W
MAG1,YER142C
DDI1,YER143W
UBP5,YER144C
FTR1,YER145C
YER145C-A,YER145C-A
LSM5,YER146W
SCC4,YER147C
YER147C-A,YER147C-A
SPT15,YER148W
YER148W-A,YER148W-A
PEA2,YER149C
SPI1,YER150W
UBP3,YER151C
YER152C,YER152C
YER152W-A,YER152W-A
PET122,YER153C
OXA1,YER154W
BEM2,YER155C
YER156C,YER156C
COG3,YER157W
YER158C,YER158C
YER158W-A,YER158W-A
BUR6,YER159C
YER159C-A,YER159C-A
YER160C,YER160C
SPT2,YER161C
RAD4,YER162C
GCG1,YER163C
CHD1,YER164W
YER165C-A,YER165C-A
PAB1,YER165W
DNF1,YER166W
BCK2,YER167W
CCA1,YER168C
RPH1,YER169W
ADK2,YER170W
RAD3,YER171W
BRR2,YER172C
YER172C-A,YER172C-A
RAD24,YER173W
GRX4,YER174C
TMT1,YER175C
YER175W-A,YER175W-A
ECM32,YER176W
BMH1,YER177W
PDA1,YER178W
DMC1,YER179W
ISC10,YER180C
SLO1,YER180C-A
YER181C,YER181C
FMP10,YER182W
FAU1,YER183C
YER184C,YER184C
PUG1,YER185W
YER186C,YER186C
YER187W,YER187W
YER188C-A,YER188C-A
YER188W,YER188W
YER189W,YER189W
YER190C-A,YER190C-A
YER190C-B,YER190C-B
YRF1-2,YER190W
DEG1,YFL001W
SPB4,YFL002C
YFL002W-A,YFL002W-A
YFL002W-B,YFL002W-B
MSH4,YFL003C
VTC2,YFL004W
SEC4,YFL005W
BLM10,YFL007W
SMC1,YFL008W
CDC4,YFL009W
WWM1,YFL010C
AUA1,YFL010W-A
HXT10,YFL011W
YFL012W,YFL012W
YFL012W-A,YFL012W-A
IES1,YFL013C
YFL013W-A,YFL013W-A
HSP12,YFL014W
YFL015C,YFL015C
YFL015W-A,YFL015W-A
MDJ1,YFL016C
GNA1,YFL017C
SMX2,YFL017W-A
LPD1,YFL018C
YFL019C,YFL019C
PAU5,YFL020C
YFL021C-A,YFL021C-A
GAT1,YFL021W
FRS2,YFL022C
BUD27,YFL023W
EPL1,YFL024C
BST1,YFL025C
STE2,YFL026W
GYP8,YFL027C
CAF16,YFL028C
CAK1,YFL029C
AGX1,YFL030W
YFL031C-A,YFL031C-A
HAC1,YFL031W
YFL032W,YFL032W
RIM15,YFL033C
RPL22b,YFL034C-A
MOB2,YFL034C-B
YFL034W,YFL034W
RPO41,YFL036W
TUB2,YFL037W
YPT1,YFL038C
ACT1,YFL039C
YFL040W,YFL040W
FET5,YFL041W
YFL041W-A,YFL041W-A
YFL042C,YFL042C
OTU1,YFL044C
SEC53,YFL045C
FMP32,YFL046W
RGD2,YFL047W
EMP47,YFL048C
SWP82,YFL049W
ALR2,YFL050C
YFL051C,YFL051C
YFL052W,YFL052W
DAK2,YFL053W
YFL054C,YFL054C
AGP3,YFL055W
AAD6,YFL056C
THI5,YFL058W
SNZ3,YFL059W
SNO3,YFL060C
DDI2,YFL061W
COS4,YFL062W
YFL063W,YFL063W
YFL064C,YFL064C
YFL065C,YFL065C
YFL066C,YFL066C
YFL067W,YFL067W
YFL068W,YFL068W
LOC1,YFR001W
NIC96,YFR002W
YPI1,YFR003C
RPN11,YFR004W
SAD1,YFR005C
YFR006W,YFR006W
YFH7,YFR007W
FAR7,YFR008W
GCN20,YFR009W
YFR009W-A,YFR009W-A
UBP6,YFR010W
YFR010W-A,YFR010W-A
AIM13,YFR011C
DCV1,YFR012W
YFR012W-A,YFR012W-A
IOC3,YFR013W
CMK1,YFR014C
GSY1,YFR015C
YFR016C,YFR016C
IGD1,YFR017C
YFR018C,YFR018C
FAB1,YFR019W
YFR020W,YFR020W
ATG18,YFR021W
ROG3,YFR022W
PES4,YFR023W
LSB3,YFR024C-A
HIS2,YFR025C
ULI1,YFR026C
ECO1,YFR027W
CDC14,YFR028C
PTR3,YFR029W
MET10,YFR030W
SMC2,YFR031C
RPL2a,YFR031C-A
RRT5,YFR032C
RPL29,YFR032C-A
YFR032C-B,YFR032C-B
QCR6,YFR033C
PHO4,YFR034C
YFR034W-A,YFR034W-A
YFR035C,YFR035C
CDC26,YFR036W
YFR036W-A,YFR036W-A
RSC8,YFR037C
IRC5,YFR038W
YFR039C,YFR039C
SAP155,YFR040W
ERJ5,YFR041C
KEG1,YFR042W
IRC6,YFR043C
DUG1,YFR044C
YFR045W,YFR045W
CNN1,YFR046C
BNA6,YFR047C
RMD8,YFR048W
YMR31,YFR049W
PRE4,YFR050C
RET2,YFR051C
YFR052C-A,YFR052C-A
RPN12,YFR052W
HXK1,YFR053C
YFR054C,YFR054C
IRC7,YFR055W
YFR056C,YFR056C
YFR057W,YFR057W
ERG26,YGL001C
ERP6,YGL002W
CDH1,YGL003C
RPN14,YGL004C
COG7,YGL005C
PMC1,YGL006W
YGL006W-A,YGL006W-A
YGL007C-A,YGL007C-A
YGL007W,YGL007W
PMA1,YGL008C
LEU1,YGL009C
YGL010W,YGL010W
SCL1,YGL011C
ERG4,YGL012W
PDR1,YGL013C
YGL014C-A,YGL014C-A
PUF4,YGL014W
YGL015C,YGL015C
KAP122,YGL016W
ATE1,YGL017W
JAC1,YGL018C
CKB1,YGL019W
GET1,YGL020C
ALK1,YGL021W
STT3,YGL022W
PIB2,YGL023C
YGL024W,YGL024W
PGD1,YGL025C
TRP5,YGL026C
CWH41,YGL027C
SCW11,YGL028C
CGR1,YGL029W
RPL30,YGL030W
RPL24a,YGL031C
AGA2,YGL032C
HOP2,YGL033W
YGL034C,YGL034C
MIG1,YGL035C
YGL036W,YGL036W
PNC1,YGL037C
OCH1,YGL038C
YGL039W,YGL039W
HEM2,YGL040C
YGL041C,YGL041C
YGL041C-B,YGL041C-B
YGL041W-A,YGL041W-A
YGL042C,YGL042C
DST1,YGL043W
RNA15,YGL044C
RIM8,YGL045W
ALG13,YGL047W
RPT6,YGL048C
TIF4632,YGL049C
TYW3,YGL050W
MST27,YGL051W
YGL052W,YGL052W
PRM8,YGL053W
ERV14,YGL054C
OLE1,YGL055W
SDS23,YGL056C
GEP7,YGL057C
RAD6,YGL058W
PKP2,YGL059W
YBP2,YGL060W
DUO1,YGL061C
PYC1,YGL062W
YGL063C-A,YGL063C-A
PUS2,YGL063W
MRH4,YGL064C
ALG2,YGL065C
SGF73,YGL066W
NPY1,YGL067W
MNP1,YGL068W
YGL069C,YGL069C
RPB9,YGL070C
AFT1,YGL071W
YGL072C,YGL072C
HSF1,YGL073W
YGL074C,YGL074C
MPS2,YGL075C
RPL7a,YGL076C
HNM1,YGL077C
DBP3,YGL078C
KXD1,YGL079W
FMP37,YGL080W
YGL081W,YGL081W
YGL082W,YGL082W
SCY1,YGL083W
GUP1,YGL084C
LCL3,YGL085W
MAD1,YGL086W
MMS2,YGL087C
YGL088W,YGL088W
MF(ALPHA)2,YGL089C
LIF1,YGL090W
NBP35,YGL091C
NUP145,YGL092W
SPC105,YGL093W
PAN2,YGL094C
VPS45,YGL095C
TOS8,YGL096W
SRM1,YGL097W
USE1,YGL098W
LSG1,YGL099W
SEH1,YGL100W
YGL101W,YGL101W
YGL102C,YGL102C
RPL28,YGL103W
VPS73,YGL104C
ARC1,YGL105W
MLC1,YGL106W
RMD9,YGL107C
YGL108C,YGL108C
YGL109W,YGL109W
CUE3,YGL110C
NSA1,YGL111W
TAF6,YGL112C
SLD3,YGL113W
YGL114W,YGL114W
SNF4,YGL115W
CDC20,YGL116W
YGL117W,YGL117W
YGL118C,YGL118C
COQ8,YGL119W
PRP43,YGL120C
GPG1,YGL121C
NAB2,YGL122C
YGL123C-A,YGL123C-A
RPS2,YGL123W
MON1,YGL124C
MET13,YGL125W
SCS3,YGL126W
SOH1,YGL127C
CWC23,YGL128C
RSM23,YGL129C
CEG1,YGL130W
SNT2,YGL131C
YGL132W,YGL132W
ITC1,YGL133W
PCL10,YGL134W
RPL1b,YGL135W
MRM2,YGL136C
SEC27,YGL137W
YGL138C,YGL138C
FLC3,YGL139W
YGL140C,YGL140C
HUL5,YGL141W
GPI10,YGL142C
MRF1,YGL143C
ROG1,YGL144C
TIP20,YGL145W
RRT6,YGL146C
RPL9a,YGL147C
ARO2,YGL148W
YGL149W,YGL149W
INO80,YGL150C
NUT1,YGL151W
YGL152C,YGL152C
PEX14,YGL153W
LYS5,YGL154C
CDC43,YGL155W
AMS1,YGL156W
ARI1,YGL157W
RCK1,YGL158W
YGL159W,YGL159W
AIM14,YGL160W
YIP5,YGL161C
SUT1,YGL162W
RAD54,YGL163C
YRB30,YGL164C
YGL165C,YGL165C
CUP2,YGL166W
PMR1,YGL167C
HUR1,YGL168W
SUA5,YGL169W
SPO74,YGL170C
ROK1,YGL171W
NUP49,YGL172W
XRN1,YGL173C
BUD13,YGL174W
SAE2,YGL175C
YGL176C,YGL176C
YGL177W,YGL177W
MPT5,YGL178W
TOS3,YGL179C
ATG1,YGL180W
GTS1,YGL181W
YGL182C,YGL182C
MND1,YGL183C
STR3,YGL184C
YGL185C,YGL185C
TPN1,YGL186C
COX4,YGL187C
YGL188C,YGL188C
YGL188C-A,YGL188C-A
RPS26a,YGL189C
CDC55,YGL190C
COX13,YGL191W
IME4,YGL192W
YGL193C,YGL193C
HOS2,YGL194C
YGL194C-A,YGL194C-A
GCN1,YGL195W
DSD1,YGL196W
MDS3,YGL197W
YIP4,YGL198W
YGL199C,YGL199C
EMP24,YGL200C
MCM6,YGL201C
ARO8,YGL202W
KEX1,YGL203C
YGL204C,YGL204C
POX1,YGL205W
CHC1,YGL206C
SPT16,YGL207W
SIP2,YGL208W
MIG2,YGL209W
YPT32,YGL210W
NCS6,YGL211W
VAM7,YGL212W
SKI8,YGL213C
YGL214W,YGL214W
CLG1,YGL215W
KIP3,YGL216W
YGL217C,YGL217C
YGL218W,YGL218W
MDM34,YGL219C
FRA2,YGL220W
NIF3,YGL221C
EDC1,YGL222C
COG1,YGL223C
SDT1,YGL224C
VRG4,YGL225W
OST5,YGL226C-A
MTC3,YGL226W
VID30,YGL227W
SHE10,YGL228W
SAP4,YGL229C
YGL230C,YGL230C
EMC4,YGL231C
TAN1,YGL232W
SEC15,YGL233W
"ADE5,7",YGL234W
YGL235W,YGL235W
MTO1,YGL236C
HAP2,YGL237C
CSE1,YGL238W
YGL239C,YGL239C
DOC1,YGL240W
KAP114,YGL241W
YGL242C,YGL242C
TAD1,YGL243W
RTF1,YGL244W
GUS1,YGL245W
RAI1,YGL246C
BRR6,YGL247W
PDE1,YGL248W
ZIP2,YGL249W
RMR1,YGL250W
HFM1,YGL251C
RTG2,YGL252C
HXK2,YGL253W
FZF1,YGL254W
ZRT1,YGL255W
ADH4,YGL256W
MNT2,YGL257C
VEL1,YGL258W
YGL258W-A,YGL258W-A
YPS5,YGL259W
YGL260W,YGL260W
PAU11,YGL261C
YGL262W,YGL262W
COS12,YGL263W
YGR001C,YGR001C
SWC4,YGR002C
CUL3,YGR003W
PEX31,YGR004W
TFG2,YGR005C
PRP18,YGR006W
ECT1,YGR007W
STF2,YGR008C
SEC9,YGR009C
NMA2,YGR010W
YGR011W,YGR011W
YGR012W,YGR012W
SNU71,YGR013W
MSB2,YGR014W
YGR015C,YGR015C
YGR016W,YGR016W
YGR017W,YGR017W
YGR018C,YGR018C
UGA1,YGR019W
VMA7,YGR020C
YGR021W,YGR021W
YGR022C,YGR022C
MTL1,YGR023W
THG1,YGR024C
YGR025W,YGR025W
YGR026W,YGR026W
RPS25a,YGR027C
YGR027W-A,YGR027W-A
YGR027W-B,YGR027W-B
MSP1,YGR028W
ERV1,YGR029W
POP6,YGR030C
NAG1,YGR031C-A
IMO32,YGR031W
GSC2,YGR032W
TIM21,YGR033C
RPL26b,YGR034W
YGR035C,YGR035C
YGR035W-A,YGR035W-A
CAX4,YGR036C
ACB1,YGR037C
YGR038C-A,YGR038C-A
YGR038C-B,YGR038C-B
ORM1,YGR038W
YGR039W,YGR039W
KSS1,YGR040W
BUD9,YGR041W
YGR042W,YGR042W
NQM1,YGR043C
RME1,YGR044C
YGR045C,YGR045C
TAM41,YGR046W
TFC4,YGR047C
UFD1,YGR048W
SCM4,YGR049W
YGR050C,YGR050C
YGR051C,YGR051C
FMP48,YGR052W
YGR053C,YGR053C
YGR054W,YGR054W
MUP1,YGR055W
RSC1,YGR056W
LST7,YGR057C
PEF1,YGR058W
SPR3,YGR059W
